"","species","acs","trt","Estimate","Est.Error","low95","high95"
"1","S. pennellii","LA2580","H",22.3074341950241,2.96367115821696,16.4328616664685,28.1032075222303
"2","S. peruvianum","LA1305","H",28.7887997853819,2.75058193906686,23.2109627334102,34.1434834877983
"3","S. peruvianum","LA1973","H",34.8324867400605,2.63005457105211,29.6257115879153,39.9944602706966
"4","S. chilense","LA2748","H",27.2252516297511,2.83421934926832,21.670498767714,32.8603662871225
"5","S. chilense","LA2931","H",37.1467696827606,2.61354447428485,31.9176830664245,42.2730422347709
"6","S. chmielewskii","LA1317","H",34.5607205399059,2.50943043789663,29.5552780078862,39.4496085705374
"7","S. habrochaites","LA1918","H",35.4664617204665,2.62804101052911,30.1616440461682,40.5691069869598
"8","S. pennellii","LA3788","H",24.0663676037526,2.58344990221695,18.8752390937615,29.1617465969414
"9","S. peruvianum","LA1336","H",40.1950344671576,2.62616489625058,35.0835902063851,45.3864566848908
"10","S. peruvianum","LA3795","H",29.5089144321715,2.5709080693368,24.4206593155967,34.5728834555597
"11","S. chilense","LA2773","H",33.4702335077838,2.42534350290035,28.6640928324633,38.2456459477294
"12","S. chmielewskii","LA1028","H",28.8339606007801,2.090589374275,24.5705156571965,32.971693680921
"13","S. chmielewskii","LA1318","H",26.9573303167366,2.50157246482555,22.0310334754013,31.9941507426473
"14","S. habrochaites","LA1361","H",30.2906102385123,2.40379749576198,25.4689908144849,34.9785100232036
"15","S. habrochaites","LA1928","H",29.5411731727177,4.19071693861153,21.5185198148536,38.0154438035187
"16","S. pennellii","LA1912","H",23.3845890626277,2.86290859284697,17.8040782027119,28.9155557848649
"17","S. pennellii","LA3791","H",27.3747993080302,2.75444301873006,21.8345564187271,32.85014625632
"18","S. peruvianum","LA1474","H",41.4701958273176,2.48275951658753,36.5102121809797,46.3477797788211
"19","S. chilense","LA1958","H",36.2718800063874,2.45895092130705,31.301689288486,41.1230557344207
"20","S. chilense","LA2884","H",30.0833622675589,2.64018397863467,24.8627857314317,35.277913189599
"21","S. chmielewskii","LA1306","H",27.2725288718589,2.52515465866934,22.2712017942081,32.223904726988
"22","S. chmielewskii","LA2663","H",26.6095337021649,2.4971292206077,21.774335610171,31.4628138039433
"23","S. habrochaites","LA1363","H",28.1656080511481,2.46788925679288,23.243721272369,33.0634209059628
"24","S. habrochaites","LA2167","H",27.5427524378002,2.43137133139524,22.6798686530938,32.3483420343871
"25","S. pennellii","LA2560","H",23.1246657931012,4.10924356270315,15.0681519204311,31.1626423585823
"26","S. peruvianum","LA446","H",30.4023255822093,2.64047987506297,25.1807924587397,35.5637675283407
"27","S. peruvianum","LA1954","H",36.153085009668,2.36651905304472,31.3711605400787,40.8511856139678
"28","S. chilense","LA1969","H",23.9072664283022,2.5606290724977,18.8391830095383,28.9401075670231
"29","S. chilense","LA2891","H",29.4827496889174,2.69330928413969,24.0682757256531,34.7310293035611
"30","S. chmielewskii","LA1316","H",38.2188132831107,2.53248960186302,33.0998064784361,43.1885746362705
"31","S. chmielewskii","LA2695","H",29.1418968907811,2.40602576447848,24.3674430210738,33.9186247598919
"32","S. habrochaites","LA1691","H",27.0415101558723,2.59408465829316,21.9044275970809,32.1089561720486
"33","S. habrochaites","LA2204","H",27.1015204551669,2.37842314057105,22.378177595593,31.8012938856239
"40","S. habrochaites","LA361","H",31.5490539913874,2.64251299764936,26.3386594108026,36.7704099078492
"42","S. pennellii","LA1367","H",20.5961853593732,3.12567198899981,14.3198803957541,26.657248066925
"99","S. pennellii","LA2580","L",30.1385401178431,2.72241594519277,24.6813832787307,35.4312282910619
"100","S. peruvianum","LA1305","L",26.7844202411463,2.62998847526022,21.4745979002011,31.9071985736958
"101","S. peruvianum","LA1973","L",46.6014250497183,2.51723163254243,41.5104232447652,51.4005027994744
"102","S. chilense","LA2748","L",30.4772804331401,2.7072822667578,24.9943870324753,35.6643781332537
"103","S. chilense","LA2931","L",45.578030781586,2.42675828203028,40.5936666666991,50.2305895082181
"104","S. chmielewskii","LA1317","L",36.836812017897,2.4359985275944,31.9145850095847,41.5446871317835
"105","S. pennellii","LA1367","L",33.6413894886027,3.12269174995528,27.3705916910804,39.6531097795792
"106","S. pennellii","LA3788","L",37.8111929637113,2.79541892086051,32.17118167987,43.1228195190267
"107","S. peruvianum","LA1336","L",47.6430523837293,2.46967765946805,42.5104868361422,52.3309166481948
"108","S. peruvianum","LA3795","L",36.4771257492204,2.51884898452684,31.4429397941112,41.3655490582528
"109","S. chilense","LA2773","L",37.2203698315008,2.47458609308855,32.1088890707289,41.9626590724709
"110","S. chmielewskii","LA1028","L",32.4909068928448,2.32870131621329,27.7944006573271,36.9967119703197
"111","S. chmielewskii","LA1318","L",30.1743239396787,2.56203653263207,25.0522222143879,35.1351826871906
"112","S. pennellii","LA1912","L",27.3431610349218,2.62261602284385,21.875314729085,32.3555843602056
"113","S. pennellii","LA3791","L",34.3982663890637,2.52314585426522,29.2826816762872,39.2186525771626
"114","S. peruvianum","LA1474","L",48.9599104841093,2.43797657796996,44.0632088719427,53.621189947857
"115","S. chilense","LA1958","L",42.0994577128391,2.5029121285072,37.0522657631749,46.9069053911205
"116","S. chilense","LA2884","L",35.437857494057,2.57719750626551,30.2409436914695,40.3319824766055
"117","S. chmielewskii","LA1306","L",29.7008702922163,2.46513109273603,24.5855392164681,34.4167736848393
"118","S. chmielewskii","LA2663","L",28.8999468374265,2.43070618166518,23.9457022379056,33.6527278989009
"119","S. pennellii","LA2560","L",33.5395539900272,3.72842561335787,26.2358509366615,40.6941279605496
"120","S. peruvianum","LA446","L",33.5924002807226,2.78753243534925,27.9370193200149,39.0456077061762
"121","S. peruvianum","LA1954","L",41.4899497928953,2.38489877966345,36.5476847716377,46.0094374124403
"122","S. chilense","LA1969","L",26.6824022416929,2.65765271017553,21.3360473973402,31.8038896935071
"123","S. chilense","LA2891","L",40.196678591053,2.68398634498088,34.794579680656,45.3727132406421
"124","S. chmielewskii","LA1316","L",42.7533597328385,2.44718719855475,37.7325092809137,47.4733779065989
"125","S. chmielewskii","LA2695","L",32.0212073135751,2.40561971988249,27.0199373259372,36.6096157760943
"126","S. habrochaites","LA1691","L",30.0930908025836,2.76271488191706,24.6489822127477,35.401285144897
"127","S. habrochaites","LA2204","L",31.9629711125831,2.56332624481802,26.8355184189544,36.830710131586
"133","S. habrochaites","LA361","L",36.0070791873533,2.57598074859056,30.8274978190292,40.9173312819308
"134","S. habrochaites","LA1918","L",37.4889917951333,2.91842057966981,31.5740349399857,43.1656678869571
"141","S. habrochaites","LA1361","L",36.6840645759892,2.4874312752419,31.6800193521257,41.4331714868516
"142","S. habrochaites","LA1928","L",23.3520388500083,5.26251247109038,12.9449597218402,33.6381145336328
"148","S. habrochaites","LA1363","L",29.3803034150908,2.48401109154256,24.3700744264269,34.1944494315769
"268","S. habrochaites","LA2167","L",30.6577077576509,2.43938787013277,25.7052761369518,35.3563839319746
"300","S. pennellii","LA716","L",27.5116254549264,3.38020572218738,20.8150116799654,34.081321784204
"361","S. pennellii","LA716","H",19.0980152934091,3.69195253038028,11.9509201484168,26.4542926496086
